283.88,466.08,272.64,50.41,8.0878,554.99,62.431,995.15,67.581,50.377,907.25,55.955,554.77,564.03,557.88,58.847,469.02,232.99,47.498,11.747,62.123,11.403,56.305,55.638,50.581,253.61,248.55,53.959,227.54,258.2,1110,551.25,56.188,550.75,278.73,503.53,60.509,906.45,55.352,9.9772,10.651,271.27,505.01,5.6386,1002.9,9.4811,50.833,57.891,8.1458,55.32,275.97,65.122,65.115,458.24,232.16,227.78,48.117,269.56,62.003,52.909
286.6,465.78,275.6,49.978,7.8733,555.51,60.487,996.32,69.968,50.509,909.07,57.211,556.89,563.01,559.03,61.24,471.52,234.78,47.88,16.365,66.551,9.8864,57.394,55.834,52.304,252.74,248.54,55.447,227.55,262.21,1115.5,551.03,56.198,551.41,278.67,507.67,62.557,908.49,55.721,10.641,11.409,270.54,503.78,5.6191,1002.5,8.8476,50.573,58.443,9.7685,55.103,275.87,61.537,63.141,457.51,233.07,228.23,47.977,267.37,60.051,52.835
280.42,466.05,269.08,50.987,7.5485,556.18,62.064,996.02,65.02,50.523,909.88,59.798,557.73,565.87,561.22,61.025,470.15,232.52,47.741,11.369,66.089,9.8573,58.88,56.477,51.383,252.64,248.79,54.723,228.11,258.54,1115.1,551.19,56.323,551.25,278.58,508.55,61.589,908.69,55.408,11.845,11.1,270.17,506.34,5.6067,1001.3,9.0655,50.448,58.882,8.8435,54.633,276.03,64.901,62.515,459.46,231.71,228.43,49.531,268.72,62.259,53.238
286.01,465.93,277.54,51.376,8.8143,556.21,63.529,997.87,64.564,50.53,909.89,55.806,557.54,561.5,559.69,64.359,470.21,234.92,47.473,16.226,69.732,10.748,55.685,55.88,53.269,254.06,248.62,55.606,227.74,257.4,1117.5,551.54,56.247,551.19,279.15,507.54,59.89,908.75,55.727,10.486,12.181,274.53,509.93,5.65,1001.2,9.3507,51.054,58.668,10.109,57.242,276.55,62.077,65.091,460.68,234.01,227.8,47.78,270.05,61.553,53.049
285.47,465.87,276.01,53.254,8.3635,555.94,61.73,996.18,69.464,50.796,909.26,58.049,556.23,568.03,560.57,61.387,470.57,233.4,47.647,14.583,67.907,11.447,58.368,56.278,52.778,254.38,248.54,54.244,228.49,260.98,1116,551.27,56.325,551.28,277.68,510.14,62.176,910.34,55.685,11.387,11.731,274.56,507.12,5.7483,1004.7,8.9914,51.471,57.997,10.2,55.891,276.29,67.034,66.092,461.21,232.97,227.83,49.309,270.45,63.201,53.354
283.01,466.14,274.18,51.91,7.7911,557.52,68.163,997.06,68.544,51.088,907.78,60.034,556.79,558.71,560.9,62.409,469.85,235.97,47.501,19.91,69.982,12.112,57.161,56.307,52.968,254.5,248.67,56.544,227.98,260.68,1113.5,551.63,56.294,550.99,278.69,511.07,62.736,907.74,55.961,11.624,12.105,276.34,507.37,5.571,997.56,8.4601,54.335,58.706,9.4898,54.88,276.19,63.402,65.668,458.28,235.46,228.74,48.379,268.24,63.062,53.127
284.53,466.06,276.21,51.439,7.8931,556.8,62.058,997.25,65.746,50.713,909.24,58.832,556.94,566.46,562.39,59.249,470.59,231.29,47.57,18.607,67.094,10.003,57.169,56.566,50.14,255.42,248.81,56.327,228.7,260.16,1116.2,551.17,56.815,551.2,279.59,507.76,64.414,907.24,55.464,12.056,10.345,276.76,509.81,5.7901,1002.7,9.2441,52.086,57.53,9.6517,55.435,276.46,66.577,64.55,456.57,232.53,228.06,49.019,270.54,62.094,53.333
285.76,466.2,276.61,51.706,8.4521,556.94,63.511,994.35,67.591,50.839,907.83,57.767,555.49,567.65,560.85,65.259,469.59,234.86,47.488,16.508,69.962,11.579,60.388,56.38,52.551,254.79,249,57.334,229.04,259.87,1112.1,551.45,56.489,551.52,278.94,509.54,63.526,909.76,55.406,11.46,11.538,272.23,510.71,5.7099,1005.3,9.6271,52.644,57.715,8.8408,57.338,276.39,63.628,65.087,458.15,235.42,228.36,48.439,268.35,63.302,53.456
290.92,466.02,274.65,51.078,7.8674,558.48,62.184,994.84,75.145,51.076,908,59.096,556.3,562.82,561.31,61.439,471.56,232.13,47.706,17.225,68.273,10.432,58.378,56.227,52.947,252.96,248.89,55.396,228.47,262.11,1117.7,551.4,56.508,551.49,278.83,513.99,63.554,907.87,55.742,10.649,12.019,270.76,508.36,5.7939,1002.7,8.4112,51.658,58.066,9.684,55.006,276.36,65.063,65.747,459.28,231.75,229.18,48.637,269.07,60.543,53.422
289.34,466.14,275.17,52.739,8.3273,556.93,64.113,996.07,67.338,50.527,908.04,59.222,555.32,566.97,558.83,58.177,471.31,234.27,47.731,15.184,69.951,11.791,58.256,56.553,51.348,254.07,248.62,54.037,227.51,259.27,1113.8,551.31,56.137,551.35,278.68,510.67,57.116,908.09,56.025,11.491,12.008,270.51,507.8,5.8992,1004,9.1183,52.654,58.886,9.1595,57.161,276.18,66.578,62.697,457.73,233.6,229.17,48.678,271.31,60.454,53.241
282.28,466.2,275.16,52.228,7.9729,556.25,62.646,998.05,69.194,50.37,910.16,57.756,558.21,563.77,561.65,62.817,472.04,233.24,47.383,13.794,67.987,10.777,56.634,56.319,50.591,252.72,248.51,57.623,227.85,260.76,1113.6,551.53,56.411,551.28,277.84,506.02,59.194,910.68,55.558,11.173,11.653,274.02,509.46,5.8067,1005.7,9.2452,52.12,58.647,10.27,54.694,276.47,64.868,63.608,458.31,233.08,228.04,48.692,269.8,60.527,53.272
289.19,465.85,271.17,50.862,7.2726,554.84,63.512,995.92,70.13,50.634,910.4,58.131,555.67,565.92,557.64,61.152,470.95,234.86,47.374,16.405,66.602,10.107,58.541,56.179,51.376,254.82,248.86,56.4,229.13,262.01,1113.8,551.69,56.1,551.36,277.95,509.82,62.017,910.73,55.132,10.132,11.607,271.63,507.33,5.726,1004.6,9.1663,51.108,59.638,9.0433,56.046,276.28,62.433,64.308,457.82,234.39,228.91,47.809,267.87,59.772,53.405
